date,manufacturer,carrier,fatalities,location
10/24/1947,Douglas,United,52,"Bryce Canyon, Utah, US"
6/30/1951,Douglas,United,50,"Fort Collins, Colorado, US"
8/24/1951,Douglas,United,50,"Union City, California, US"
4/11/1952,Douglas,Pan,52,"San Juan, Puerto Rico, US"
4/29/1952,Boeing,Pan,50,"Santana do Araguaia, Brazil"
3/22/1955,Douglas,United,66,"Waianae Range, Oahu, Hawaii, US"
10/6/1955,Douglas,United,66,"Medicine Bow Peak, Wyoming, US"
3/1/1962,Boeing,American,95,"Jamaica Bay, New York, US"
12/8/1963,Boeing,Pan,81,"Elkton, Maryland, US"
11/23/1964,Boeing,TWA,50,"Fiumicino, Italy"
11/8/1965,Boeing,American,58,"Hebron, Kentucky, US"
9/28/1968,Douglas,Pan,58,"Rivers State, Nigeria"
12/12/1968,Boeing,Pan,51,"Maiquetía, Venezuela"
7/22/1973,Boeing,Pan,78,"Papeete, Tahiti, French Polynesia"
1/30/1974,Boeing,Pan,97,"Pago Pago, American Samoa"
4/22/1974,Boeing,Pan,107,"Negara, Bali, Indonesia"
12/1/1974,Boeing,TWA,92,"Mt. Weather, Virginia, US"
5/25/1979,McDonnell,American,273,"Des Plaines, Illinois, U.S."
7/9/1982,Boeing,Pan,153,"Kenner, Louisiana, US"
7/19/1989,McDonnell,United,111,"Sioux City, Iowa, US"
12/20/1995,Boeing,American,159,"Buga, Colombia"
7/17/1996,Boeing,TWA,230,"East Moriches, New York, U.S."
11/12/2001,Airbus,American,265,"Belle Harbor, New York City, New York, U.S."
